"","pickup","dropoff","passengers","distance","fare","tip","tolls","total","color","payment","pickup_zone","dropoff_zone","pickup_borough","dropoff_borough"
"6341","2019-03-14 16:57:50","2019-03-14 17:48:16",1,17.1,33.27,0,0,33.77,"green","credit card","Queensboro Hill","Eastchester","Queens","Bronx"
"5490","2019-03-01 12:48:16","2019-03-01 13:02:10",1,1.9,10.5,0,0,11.3,"green","cash","Downtown Brooklyn/MetroTech","Red Hook","Brooklyn","Brooklyn"
"5193","2019-03-13 23:21:48","2019-03-13 23:26:06",3,0.72,5,2.2,0,11,"yellow","credit card","Upper East Side South","Sutton Place/Turtle Bay North","Manhattan","Manhattan"
"6376","2019-03-31 18:50:27","2019-03-31 18:53:53",1,0.59,4.5,0,0,5.3,"green","cash","Central Harlem","Central Harlem","Manhattan","Manhattan"
"1747","2019-03-13 20:15:33","2019-03-13 20:33:00",5,1.7,11.5,0,0,15.3,"yellow","cash","Clinton East","Sutton Place/Turtle Bay North","Manhattan","Manhattan"
"4752","2019-03-22 22:05:42","2019-03-22 22:11:25",1,0.88,5,1.76,0,10.56,"yellow","credit card","Greenwich Village North","Flatiron","Manhattan","Manhattan"
"161","2019-03-14 11:36:47","2019-03-14 11:46:26",1,1.43,8.5,2.36,0,14.16,"yellow","credit card","Central Park","Upper West Side North","Manhattan","Manhattan"
"793","2019-03-20 17:49:25","2019-03-20 17:56:36",3,0.9,6.5,2.16,0,12.96,"yellow","credit card","Midtown East","Lenox Hill West","Manhattan","Manhattan"
"4385","2019-03-14 06:58:59","2019-03-14 07:08:24",1,1.8,8.5,0,0,9.3,"yellow","","East Harlem North","Morningside Heights","Manhattan","Manhattan"
"181","2019-03-08 00:51:39","2019-03-08 00:56:54",5,0.93,5.5,1.86,0,11.16,"yellow","credit card","East Village","Lower East Side","Manhattan","Manhattan"
"95","2019-03-06 20:00:28","2019-03-06 20:11:50",3,2.6,11,4.4,0,19.2,"yellow","credit card","Upper East Side South","Upper West Side North","Manhattan","Manhattan"
"2379","2019-03-06 18:18:36","2019-03-06 18:31:58",2,2.17,10.5,2.96,0,17.76,"yellow","credit card","World Trade Center","Two Bridges/Seward Park","Manhattan","Manhattan"
"5944","2019-03-01 19:05:45","2019-03-01 19:21:39",2,2,11.5,0,0,13.3,"green","credit card","Woodside","Astoria","Queens","Queens"
"6161","2019-03-02 19:25:01","2019-03-02 19:28:00",1,0.4,4,1.2,0,6,"green","credit card","Central Harlem","Central Harlem North","Manhattan","Manhattan"
"3020","2019-03-21 22:13:06","2019-03-21 22:15:48",2,0.98,4.5,1,0,9.3,"yellow","credit card","Sutton Place/Turtle Bay North","Upper East Side South","Manhattan","Manhattan"
"5198","2019-03-15 21:57:47","2019-03-15 22:06:44",3,1.4,7.5,2,0,13.3,"yellow","credit card","Midtown North","Lenox Hill West","Manhattan","Manhattan"
"911","2019-03-06 11:24:49","2019-03-06 11:34:37",1,1.2,7.5,0,0,10.8,"yellow","cash","Little Italy/NoLiTa","Union Sq","Manhattan","Manhattan"
"2456","2019-03-29 15:50:19","2019-03-29 15:52:54",2,0.43,4,1.46,0,8.76,"yellow","credit card","Lenox Hill West","Lenox Hill East","Manhattan","Manhattan"
"4380","2019-03-03 04:50:15","2019-03-03 05:04:47",1,3.37,13,1,0,17.8,"yellow","credit card","Two Bridges/Seward Park","Union Sq","Manhattan","Manhattan"
"4115","2019-03-06 22:43:57","2019-03-06 22:54:13",1,1.6,8,0,0,11.8,"yellow","cash","Murray Hill","East Village","Manhattan","Manhattan"
"3115","2019-03-23 19:41:05","2019-03-23 19:52:03",1,1.11,8.5,2.36,0,14.16,"yellow","credit card","Times Sq/Theatre District","UN/Turtle Bay South","Manhattan","Manhattan"
"1153","2019-03-25 19:33:17","2019-03-25 19:39:08",1,1.2,6.5,2.15,0,12.95,"yellow","credit card","Upper West Side South","Upper East Side North","Manhattan","Manhattan"
"3397","2019-03-18 07:43:21","2019-03-18 08:27:18",1,10.32,36,9.01,5.76,54.07,"yellow","credit card","Upper West Side North","LaGuardia Airport","Manhattan","Queens"
"338","2019-03-01 17:51:29","2019-03-01 18:02:41",1,1.75,9,3.99,0,17.29,"yellow","credit card","Penn Station/Madison Sq West","Greenwich Village North","Manhattan","Manhattan"
"1156","2019-03-13 16:51:57","2019-03-13 17:04:13",1,0.6,8.5,2.55,0,15.35,"yellow","credit card","West Chelsea/Hudson Yards","Clinton East","Manhattan","Manhattan"
"24","2019-03-04 12:15:39","2019-03-04 12:26:53",5,1.09,8.5,2.36,0,14.16,"yellow","credit card","Sutton Place/Turtle Bay North","Midtown North","Manhattan","Manhattan"
